The pinned commit ecfb727 and #61's tip 2bca1a9 give the same verdict on every
attempt file of this round. #61 was rebased onto the new main while the round ran;
the shape document is byte-identical across the rebase and render.mjs differs only
by moving the unaccounted-files computation behind Groundtrack.unaccountedFiles.

file                                  pinned  tip  identical output
t1-haiku-1-void/attempt-1.json        1       1    True
t1-haiku-1-void/attempt-2.json        1       1    True
t1-haiku-1-void/attempt-3.json        1       1    True
t1-haiku-1-void/attempt-4.json        1       1    True
t1-haiku-2/attempt-1.json             1       1    True
t1-haiku-2/attempt-2.json             0       0    True
t1-haiku-3/attempt-1.json             0       0    True
t1-haiku-3/attempt-2.json             0       0    True
t2-haiku-1/attempt-1.json             0       0    True
t2-haiku-2/attempt-1.json             0       0    True
t2-haiku-3/attempt-1.json             0       0    True
t3-haiku-1/attempt-1.json             1       1    True
t3-haiku-1/attempt-2.json             1       1    True
t3-haiku-1/attempt-3.json             0       0    True
t3-haiku-2/attempt-1.json             1       1    True
t3-haiku-2/attempt-2.json             1       1    True
t3-haiku-2/attempt-3.json             1       1    True
t3-haiku-2/attempt-4.json             1       1    True
t3-haiku-2/attempt-5.json             0       0    True
t3-haiku-3/attempt-1.json             1       1    True
t3-haiku-3/attempt-2.json             1       1    True
t3-haiku-3/attempt-3.json             1       1    True
t3-haiku-3/attempt-4.json             0       0    True
t4-haiku-1/attempt-1.json             1       1    True
t4-haiku-1/attempt-2.json             0       0    True
t4-haiku-2/attempt-1.json             0       0    True
t4-haiku-3/attempt-1.json             1       1    True
t4-haiku-3/attempt-2.json             1       1    True
t4-haiku-3/attempt-3.json             1       1    True
t4-haiku-3/attempt-4.json             0       0    True

30 of 30 identical. The round is valid against #61 as it now stands.
